user_id,country,acquisition_channel,device,signup_at,kyc_started_at,kyc_completed_at,first_transaction_at
20063,Spain,organic,Web,2025-01-12 03:58:00,2025-01-12 07:36:00,2025-01-12 10:02:00,
20064,Italy,partnership,Web,2025-05-01 02:45:00,2025-05-01 05:59:00,,
20065,Italy,referral,Web,2025-03-22 02:52:00,2025-03-22 03:33:00,2025-03-22 14:04:00,2025-03-25 10:04:00
20066,France,partnership,Android,2025-04-09 07:56:00,2025-04-09 09:07:00,2025-04-09 15:29:00,2025-04-13 07:17:00
20067,UK,paid_search,iOS,2025-01-28 07:50:00,2025-01-28 10:48:00,2025-01-28 14:37:00,2025-02-02 06:25:00
20068,Italy,referral,Android,2024-08-28 22:34:00,2024-08-29 02:08:00,2024-08-29 05:25:00,2024-08-29 07:31:00
20069,France,referral,Android,2024-09-13 03:25:00,2024-09-13 06:34:00,2024-09-13 12:53:00,2024-09-18 12:23:00
20070,UK,referral,Android,2024-12-19 15:12:00,2024-12-19 18:37:00,2024-12-19 21:36:00,
20071,Italy,partnership,iOS,2024-04-02 22:27:00,,,
20072,Italy,organic,iOS,2025-03-07 00:04:00,2025-03-07 00:39:00,,
20073,UK,paid_social,Android,2024-05-12 07:56:00,2024-05-12 09:53:00,2024-05-12 16:31:00,2024-05-17 12:07:00
20074,UK,referral,iOS,2024-07-02 16:45:00,2024-07-02 16:59:00,,
20075,Germany,organic,Web,2024-09-11 20:00:00,2024-09-11 20:08:00,,
20076,UK,partnership,iOS,2024-05-25 04:04:00,2024-05-25 06:06:00,2024-05-25 15:53:00,
20077,France,paid_social,iOS,2024-12-04 15:03:00,2024-12-04 18:15:00,2024-12-04 22:51:00,2024-12-05 06:21:00
20078,Italy,referral,Android,2024-08-15 03:50:00,,,
20079,UK,partnership,Web,2024-05-24 10:03:00,2024-05-24 11:06:00,2024-05-24 16:24:00,
20080,UK,partnership,iOS,2025-03-13 04:57:00,2025-03-13 06:47:00,2025-03-13 08:07:00,2025-03-17 05:47:00
20081,Spain,referral,iOS,2024-01-10 05:06:00,2024-01-10 06:39:00,2024-01-10 14:39:00,
20082,Germany,partnership,Web,2024-11-13 02:41:00,2024-11-13 06:08:00,,
20083,Spain,referral,Web,2024-12-18 01:43:00,2024-12-18 03:06:00,,
20084,France,referral,iOS,2024-03-04 02:32:00,2024-03-04 04:58:00,2024-03-04 13:22:00,2024-03-08 06:37:00
20085,Spain,paid_search,Android,2024-05-12 09:52:00,2024-05-12 11:20:00,2024-05-12 16:12:00,2024-05-18 13:46:00
20086,UK,paid_search,Web,2024-05-19 02:57:00,2024-05-19 05:20:00,,
20087,Spain,referral,Android,2025-05-17 21:16:00,2025-05-17 21:40:00,2025-05-18 04:44:00,2025-05-21 16:50:00
20088,Italy,paid_social,Android,2025-04-28 11:32:00,2025-04-28 13:01:00,2025-04-29 00:18:00,2025-05-04 04:42:00
20089,France,paid_social,iOS,2024-07-16 06:36:00,2024-07-16 07:26:00,2024-07-16 17:51:00,2024-07-22 06:34:00
20090,Italy,partnership,Web,2024-07-20 08:10:00,2024-07-20 08:36:00,,
20091,Germany,paid_social,iOS,2024-08-03 17:16:00,2024-08-03 20:18:00,2024-08-04 01:08:00,2024-08-04 16:31:00
20092,France,paid_search,Web,2025-02-06 22:38:00,2025-02-07 00:44:00,2025-02-07 03:52:00,2025-02-12 15:05:00
20093,France,paid_search,iOS,2024-11-16 17:45:00,2024-11-16 21:26:00,2024-11-17 00:44:00,2024-11-23 14:47:00
20094,UK,paid_search,iOS,2025-04-03 08:21:00,2025-04-03 09:39:00,2025-04-03 14:03:00,2025-04-08 08:11:00
20095,Italy,partnership,iOS,2025-03-17 12:10:00,2025-03-17 13:48:00,2025-03-17 23:07:00,
20096,France,partnership,Web,2024-11-08 06:20:00,2024-11-08 09:30:00,2024-11-08 16:12:00,2024-11-09 14:52:00
20097,Germany,paid_search,Web,2024-04-24 08:46:00,2024-04-24 08:47:00,2024-04-24 16:58:00,2024-04-27 08:40:00
20098,France,referral,iOS,2024-07-28 18:59:00,2024-07-28 22:56:00,2024-07-29 04:36:00,2024-07-31 18:29:00
20099,Germany,paid_social,iOS,2025-04-16 14:14:00,2025-04-16 14:57:00,2025-04-17 00:49:00,
20100,UK,referral,Web,2024-11-15 18:45:00,2024-11-15 20:29:00,,
20101,Italy,referral,Android,2024-12-30 10:23:00,2024-12-30 10:34:00,,
20102,France,partnership,Android,2025-06-18 20:54:00,2025-06-18 21:53:00,,
20103,Italy,organic,Web,2025-02-22 20:19:00,2025-02-22 22:47:00,2025-02-23 04:16:00,2025-02-28 05:31:00
20104,Germany,partnership,Android,2024-07-21 13:08:00,2024-07-21 15:14:00,,
20105,France,referral,Android,2024-12-08 06:01:00,2024-12-08 06:28:00,,
20106,Spain,referral,Android,2024-08-28 03:44:00,2024-08-28 05:27:00,2024-08-28 15:00:00,2024-08-29 15:32:00
20107,France,paid_social,iOS,2024-08-17 00:35:00,,,
20108,Italy,organic,Web,2024-10-21 07:28:00,2024-10-21 09:27:00,2024-10-21 15:21:00,2024-10-27 07:58:00
20109,Spain,organic,iOS,2025-03-31 09:48:00,2025-03-31 10:22:00,,
20110,Spain,organic,iOS,2024-11-15 00:38:00,,,
20111,Germany,paid_search,Android,2025-03-19 08:48:00,2025-03-19 11:10:00,2025-03-19 15:10:00,
20112,Spain,organic,Web,2024-03-23 14:52:00,2024-03-23 17:00:00,,
20113,Italy,paid_social,Android,2024-07-31 12:39:00,2024-07-31 14:40:00,2024-08-01 01:11:00,2024-08-07 21:21:00
20114,Germany,organic,Android,2025-01-05 02:09:00,2025-01-05 05:48:00,2025-01-05 14:37:00,2025-01-05 15:49:00
20115,France,partnership,Web,2024-07-24 22:58:00,,,
20116,Germany,referral,Web,2024-12-22 13:05:00,2024-12-22 14:31:00,2024-12-22 23:57:00,2024-12-26 16:19:00
20117,Germany,partnership,Android,2024-05-17 08:56:00,2024-05-17 12:15:00,2024-05-17 17:50:00,
20118,Spain,referral,Web,2025-05-28 12:45:00,2025-05-28 15:32:00,,
20119,UK,paid_search,Web,2024-12-26 16:29:00,,,
20120,UK,referral,iOS,2024-08-29 18:01:00,2024-08-29 19:58:00,2024-08-29 22:35:00,2024-08-31 17:14:00
20121,Spain,paid_social,Android,2024-02-24 11:43:00,2024-02-24 13:25:00,2024-02-24 19:11:00,
20122,Spain,paid_social,Web,2025-01-23 13:43:00,2025-01-23 16:58:00,2025-01-24 02:22:00,2025-01-24 21:33:00
20123,France,paid_search,Web,2024-06-19 22:54:00,2024-06-19 23:20:00,,
20124,UK,referral,iOS,2025-05-27 13:23:00,2025-05-27 17:15:00,2025-05-27 22:57:00,
20125,France,paid_social,Android,2024-08-01 14:58:00,2024-08-01 17:14:00,2024-08-01 21:31:00,2024-08-08 20:26:00
20126,Italy,paid_search,Android,2024-10-05 13:26:00,,,
20127,Germany,referral,Web,2024-04-14 05:09:00,2024-04-14 06:15:00,2024-04-14 14:21:00,
20128,Italy,paid_search,iOS,2025-05-08 10:06:00,2025-05-08 11:35:00,,
20129,Spain,paid_social,Android,2024-08-05 20:05:00,2024-08-05 20:56:00,,
20130,UK,paid_search,Android,2024-12-17 20:40:00,2024-12-17 23:08:00,2024-12-18 04:20:00,2024-12-22 16:54:00
20131,UK,partnership,Web,2024-07-18 20:53:00,2024-07-18 21:06:00,,
20132,Spain,paid_social,iOS,2025-06-26 14:49:00,2025-06-26 16:20:00,2025-06-26 19:44:00,2025-06-28 09:34:00
20133,UK,organic,Android,2025-04-02 11:25:00,2025-04-02 11:34:00,2025-04-02 13:58:00,2025-04-05 23:03:00
20134,Spain,paid_search,iOS,2024-08-25 21:49:00,2024-08-26 00:08:00,,
20135,Italy,partnership,Android,2024-09-23 09:49:00,2024-09-23 10:55:00,,
20136,France,paid_social,iOS,2024-12-16 20:54:00,2024-12-16 21:14:00,2024-12-17 03:16:00,
20137,France,organic,Android,2025-02-09 19:44:00,2025-02-09 22:02:00,2025-02-10 05:56:00,2025-02-14 11:52:00
20138,Germany,referral,iOS,2024-03-19 21:29:00,2024-03-19 23:53:00,2024-03-20 03:49:00,2024-03-25 11:05:00
20139,France,referral,iOS,2025-05-25 12:12:00,2025-05-25 12:22:00,2025-05-25 21:45:00,2025-06-01 01:02:00
20140,Spain,referral,Android,2024-04-08 18:54:00,2024-04-08 22:05:00,2024-04-09 07:28:00,2024-04-11 02:09:00
20141,UK,referral,Web,2024-10-29 02:37:00,2024-10-29 03:49:00,2024-10-29 10:18:00,2024-11-03 12:13:00
20142,France,organic,Web,2024-06-20 22:22:00,2024-06-21 02:13:00,,
20143,UK,referral,Android,2024-09-18 04:16:00,2024-09-18 04:48:00,,
20144,UK,paid_search,Web,2024-11-27 02:45:00,2024-11-27 02:51:00,2024-11-27 08:42:00,2024-11-28 19:35:00
20145,Germany,organic,Web,2025-02-15 02:42:00,2025-02-15 03:38:00,,
20146,France,paid_search,Web,2024-06-18 15:56:00,2024-06-18 19:36:00,,
20147,Italy,paid_social,iOS,2024-04-04 15:46:00,2024-04-04 19:28:00,2024-04-04 21:44:00,
20148,Italy,paid_social,iOS,2024-06-22 06:09:00,2024-06-22 06:23:00,2024-06-22 16:18:00,2024-06-23 10:09:00
20149,Spain,paid_social,Web,2024-12-12 19:00:00,2024-12-12 20:56:00,2024-12-12 21:50:00,
20150,Italy,paid_social,Android,2025-04-24 19:09:00,2025-04-24 19:17:00,2025-04-25 05:39:00,2025-04-26 11:37:00
20151,Spain,organic,iOS,2024-12-23 00:04:00,2024-12-23 00:42:00,2024-12-23 05:33:00,2024-12-29 21:53:00
20152,France,referral,Web,2025-02-03 07:13:00,2025-02-03 09:10:00,2025-02-03 17:25:00,
20153,Italy,paid_search,Android,2024-03-24 07:31:00,2024-03-24 08:30:00,2024-03-24 18:26:00,2024-03-25 20:53:00
20154,Spain,paid_social,Web,2024-08-15 14:10:00,2024-08-15 14:50:00,2024-08-15 23:05:00,2024-08-16 22:53:00
20155,Spain,organic,Web,2024-03-08 21:18:00,2024-03-09 00:46:00,2024-03-09 01:57:00,2024-03-15 11:48:00
20156,France,organic,Android,2025-02-13 00:07:00,2025-02-13 02:58:00,,
20157,UK,paid_social,Web,2024-11-03 23:21:00,2024-11-03 23:48:00,2024-11-04 03:35:00,2024-11-09 15:45:00
20158,UK,paid_social,Web,2024-06-12 06:57:00,2024-06-12 10:13:00,2024-06-12 14:14:00,
20159,Italy,partnership,Web,2025-02-12 11:35:00,2025-02-12 11:42:00,2025-02-12 16:52:00,2025-02-16 05:44:00
20160,France,organic,iOS,2024-09-04 10:51:00,2024-09-04 13:16:00,2024-09-04 15:33:00,
20161,UK,partnership,iOS,2024-01-23 07:46:00,2024-01-23 09:43:00,2024-01-23 16:11:00,2024-01-27 09:15:00
20162,Italy,organic,iOS,2025-02-17 07:24:00,2025-02-17 10:38:00,2025-02-17 13:40:00,2025-02-22 09:57:00
20163,Italy,referral,Android,2024-12-19 15:33:00,2024-12-19 18:47:00,2024-12-20 03:00:00,2024-12-26 21:27:00
20164,Italy,paid_social,iOS,2024-12-20 08:31:00,2024-12-20 11:05:00,2024-12-20 16:21:00,
20165,France,paid_social,Android,2024-04-09 22:21:00,2024-04-10 00:29:00,2024-04-10 04:31:00,2024-04-12 19:51:00
20166,Italy,paid_social,iOS,2024-12-30 06:43:00,2024-12-30 09:53:00,2024-12-30 12:39:00,
20167,Italy,referral,Web,2024-08-15 23:07:00,2024-08-16 01:51:00,2024-08-16 06:01:00,2024-08-19 23:12:00
20168,Italy,referral,Web,2024-05-05 03:42:00,,,
20169,Spain,organic,iOS,2024-03-05 04:10:00,2024-03-05 05:53:00,2024-03-05 12:48:00,
20170,France,paid_search,Android,2025-06-27 01:53:00,2025-06-27 02:13:00,2025-06-27 06:54:00,2025-07-01 06:48:00
20171,Germany,paid_search,iOS,2024-09-12 15:54:00,2024-09-12 16:45:00,2024-09-12 19:31:00,
20172,UK,paid_search,Web,2025-04-22 07:51:00,2025-04-22 11:05:00,2025-04-22 18:54:00,
20173,Italy,paid_social,Web,2025-02-15 01:12:00,2025-02-15 03:05:00,2025-02-15 12:24:00,
20174,UK,paid_social,Web,2025-03-06 15:48:00,2025-03-06 17:47:00,2025-03-06 18:55:00,2025-03-10 01:48:00
20175,UK,partnership,Web,2024-02-25 20:58:00,2024-02-25 22:57:00,2024-02-25 23:49:00,2024-03-03 12:25:00
20176,Germany,paid_social,Web,2025-04-19 15:41:00,2025-04-19 16:20:00,,
20177,UK,paid_social,Web,2024-11-24 01:27:00,2024-11-24 04:13:00,2024-11-24 08:36:00,
20178,Italy,partnership,Web,2024-11-15 23:27:00,2024-11-16 01:03:00,,
20179,Spain,paid_social,Web,2024-10-09 02:35:00,2024-10-09 05:58:00,2024-10-09 11:50:00,2024-10-10 14:08:00
20180,Spain,paid_social,Android,2025-02-10 07:06:00,2025-02-10 09:55:00,,
20181,Germany,paid_social,iOS,2025-03-14 20:57:00,2025-03-14 21:34:00,,
20182,Spain,paid_search,Web,2024-08-13 21:41:00,2024-08-13 22:03:00,2024-08-14 04:38:00,
20183,Germany,partnership,iOS,2024-08-27 04:32:00,2024-08-27 06:21:00,2024-08-27 06:49:00,2024-08-29 08:32:00
20184,France,referral,iOS,2024-06-04 23:17:00,2024-06-04 23:53:00,2024-06-05 05:50:00,2024-06-11 09:43:00
20185,Italy,organic,Web,2025-06-21 20:44:00,2025-06-22 00:01:00,2025-06-22 07:35:00,2025-06-24 05:17:00
20186,Spain,organic,Android,2025-06-09 03:35:00,2025-06-09 06:40:00,2025-06-09 14:24:00,2025-06-14 17:29:00
20187,Italy,paid_search,Android,2024-06-19 09:29:00,,,
20188,Germany,paid_social,Web,2024-12-07 12:38:00,,,
20189,Spain,paid_social,Android,2024-11-16 19:59:00,2024-11-16 21:47:00,,
20190,Italy,paid_search,Android,2024-05-25 09:58:00,2024-05-25 12:02:00,,
20191,UK,partnership,iOS,2025-02-07 19:18:00,2025-02-07 22:34:00,2025-02-08 06:24:00,
20192,Spain,organic,iOS,2024-04-17 07:06:00,2024-04-17 10:53:00,2024-04-17 11:30:00,2024-04-22 00:15:00
20193,France,paid_search,Android,2024-12-31 13:12:00,,,
20194,Germany,organic,Android,2024-09-30 00:04:00,,,
20195,France,paid_search,iOS,2025-06-04 10:21:00,2025-06-04 14:16:00,,
20196,Germany,referral,Android,2025-05-21 20:44:00,2025-05-22 00:36:00,2025-05-22 05:08:00,2025-05-23 22:27:00
20197,Italy,partnership,Android,2025-02-03 15:02:00,2025-02-03 16:16:00,2025-02-03 19:02:00,2025-02-09 00:21:00
20198,UK,referral,Web,2024-02-15 17:38:00,2024-02-15 20:20:00,2024-02-16 00:37:00,
20199,Spain,organic,Web,2024-07-31 02:20:00,2024-07-31 04:47:00,2024-07-31 06:24:00,2024-08-04 09:22:00
20200,Italy,partnership,Web,2024-02-19 06:46:00,2024-02-19 08:56:00,2024-02-19 18:05:00,2024-02-24 04:13:00
20201,France,organic,Android,2024-09-28 19:55:00,2024-09-28 21:24:00,2024-09-29 02:08:00,
20202,Germany,organic,Android,2024-08-30 03:11:00,2024-08-30 06:40:00,2024-08-30 14:45:00,
20203,Germany,paid_search,iOS,2024-12-14 10:56:00,2024-12-14 12:54:00,2024-12-14 16:30:00,2024-12-16 23:28:00
20204,France,paid_social,Web,2024-01-31 12:21:00,2024-01-31 15:50:00,2024-01-31 20:48:00,
20205,France,paid_social,iOS,2024-05-19 03:46:00,2024-05-19 05:11:00,2024-05-19 13:48:00,
20206,Spain,referral,Android,2025-06-25 06:14:00,,,
20207,Spain,paid_social,Web,2024-12-27 07:46:00,2024-12-27 08:08:00,2024-12-27 09:38:00,2024-12-29 11:24:00
20208,France,paid_social,iOS,2025-02-01 04:51:00,2025-02-01 07:41:00,2025-02-01 18:21:00,
20209,Spain,paid_social,Android,2024-05-01 08:19:00,2024-05-01 12:02:00,,
20210,Spain,paid_social,Web,2025-03-23 17:18:00,,,
20211,UK,referral,Android,2024-02-11 18:24:00,2024-02-11 21:36:00,2024-02-11 22:17:00,2024-02-18 20:41:00
20212,Spain,organic,iOS,2025-05-08 18:27:00,2025-05-08 21:47:00,2025-05-09 04:07:00,2025-05-15 15:30:00
20213,Italy,paid_search,Web,2024-01-24 13:58:00,2024-01-24 15:33:00,2024-01-24 19:47:00,2024-01-29 00:29:00
20214,France,paid_social,iOS,2024-10-16 20:08:00,,,
20215,Germany,referral,Web,2024-01-19 20:52:00,2024-01-19 23:16:00,2024-01-20 03:52:00,
20216,Italy,paid_social,Web,2024-06-05 05:53:00,,,
20217,Germany,organic,iOS,2024-12-23 16:20:00,2024-12-23 18:16:00,2024-12-24 02:01:00,
20218,France,paid_social,Web,2025-05-11 13:34:00,2025-05-11 15:53:00,2025-05-11 22:10:00,
20219,Germany,paid_social,Web,2025-05-24 21:13:00,2025-05-24 22:05:00,,
20220,Spain,organic,Android,2024-06-21 09:15:00,2024-06-21 10:50:00,2024-06-21 20:24:00,2024-06-22 20:26:00
20221,France,referral,Web,2024-02-17 21:01:00,2024-02-17 23:16:00,2024-02-18 09:12:00,2024-02-22 00:16:00
20222,UK,referral,Android,2025-04-12 17:40:00,2025-04-12 19:09:00,2025-04-13 04:43:00,2025-04-15 06:54:00
20223,Spain,partnership,iOS,2024-04-03 23:00:00,2024-04-04 01:13:00,2024-04-04 04:11:00,2024-04-06 18:15:00
20224,Italy,paid_social,iOS,2024-09-08 23:11:00,2024-09-09 01:54:00,,
20225,Germany,paid_social,Web,2024-07-18 20:22:00,2024-07-18 22:31:00,2024-07-19 01:18:00,2024-07-25 23:02:00
20226,Italy,organic,iOS,2024-09-02 20:19:00,2024-09-02 23:04:00,2024-09-03 04:58:00,
20227,Italy,organic,Android,2024-10-30 08:22:00,,,
20228,France,paid_social,Android,2025-02-01 06:39:00,2025-02-01 10:06:00,2025-02-01 17:36:00,2025-02-02 10:27:00
20229,Spain,referral,Android,2024-04-25 02:39:00,2024-04-25 04:07:00,2024-04-25 09:37:00,
20230,France,referral,iOS,2024-08-20 12:27:00,2024-08-20 14:39:00,2024-08-20 21:36:00,2024-08-23 23:08:00
20231,Germany,paid_search,iOS,2024-11-23 09:15:00,2024-11-23 10:54:00,,
20232,Germany,paid_search,Android,2024-10-31 11:26:00,,,
20233,France,paid_search,iOS,2025-06-09 02:37:00,2025-06-09 04:49:00,2025-06-09 12:41:00,2025-06-14 00:33:00
20234,Spain,paid_search,iOS,2025-01-03 01:16:00,2025-01-03 01:29:00,2025-01-03 10:05:00,2025-01-08 19:05:00
20235,Italy,organic,iOS,2024-07-27 01:48:00,2024-07-27 05:34:00,2024-07-27 14:01:00,2024-08-01 03:54:00
20236,Italy,partnership,iOS,2024-02-07 06:02:00,2024-02-07 07:16:00,2024-02-07 18:17:00,
20237,Italy,partnership,iOS,2024-07-22 16:28:00,2024-07-22 16:53:00,2024-07-23 01:32:00,
20238,Germany,paid_search,Web,2025-07-03 17:58:00,2025-07-03 20:07:00,2025-07-03 20:56:00,2025-07-07 16:22:00
20239,Italy,referral,iOS,2024-12-10 23:16:00,2024-12-11 01:28:00,2024-12-11 08:05:00,2024-12-14 18:17:00
20240,France,partnership,Web,2025-03-08 08:05:00,2025-03-08 11:07:00,2025-03-08 19:47:00,2025-03-10 02:12:00
20241,Italy,paid_social,Web,2024-10-30 07:34:00,2024-10-30 10:16:00,2024-10-30 19:58:00,
20242,Italy,paid_search,Web,2025-02-25 05:34:00,2025-02-25 07:37:00,2025-02-25 15:13:00,
20243,UK,partnership,Web,2024-06-25 08:41:00,2024-06-25 08:46:00,2024-06-25 16:04:00,2024-06-28 00:14:00
20244,Italy,partnership,Android,2024-10-25 19:51:00,2024-10-25 23:00:00,2024-10-26 04:03:00,2024-10-29 21:18:00
20245,Spain,partnership,Android,2025-04-27 05:15:00,2025-04-27 06:00:00,2025-04-27 15:15:00,2025-05-01 16:29:00
20246,France,partnership,Android,2025-05-07 03:39:00,2025-05-07 04:43:00,2025-05-07 11:15:00,
20247,France,paid_search,Web,2024-08-04 17:11:00,2024-08-04 18:33:00,2024-08-05 05:46:00,2024-08-11 18:51:00
20248,Italy,referral,Android,2025-05-07 16:49:00,2025-05-07 20:07:00,2025-05-08 01:44:00,2025-05-08 23:48:00
20249,Spain,paid_social,Web,2024-09-09 05:08:00,2024-09-09 06:00:00,,
20250,Italy,paid_social,iOS,2024-07-16 10:23:00,2024-07-16 13:33:00,2024-07-16 18:23:00,
20251,Germany,paid_search,iOS,2025-01-21 16:37:00,2025-01-21 18:02:00,2025-01-21 19:54:00,
20252,UK,partnership,iOS,2024-04-10 02:24:00,2024-04-10 06:24:00,,
20253,Spain,paid_search,Android,2024-12-12 09:27:00,2024-12-12 12:13:00,2024-12-12 13:54:00,2024-12-15 05:48:00
20254,UK,paid_search,Android,2025-01-24 16:27:00,,,
20255,UK,referral,Android,2024-05-08 00:07:00,2024-05-08 03:19:00,,
20256,UK,organic,Android,2024-07-29 18:48:00,2024-07-29 19:16:00,,
20257,France,referral,Web,2024-08-31 23:17:00,2024-09-01 01:24:00,,
